City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ulaangom,49.9811,92.0667,39.92,49,2,1.21,MN,1619411488
umm lajj,25.0213,37.2685,81.97,50,0,4.03,SA,1619411488
urumqi,43.801,87.6005,53.6,16,0,4.47,CN,1619411420
victoria,-4.6167,55.45,86.0,74,40,6.91,SC,1619411488
vilyuysk,63.7553,121.6247,30.2,95,100,10.49,RU,1619411488
vitim,59.4511,112.5578,36.3,99,100,7.11,RU,1619411488
vostok,46.4856,135.8833,49.44,25,9,8.46,RU,1619411489
vrbas,45.5714,19.6408,46.4,71,0,8.05,RS,1619411489
wattegama,6.7989,81.4808,87.8,79,40,6.91,LK,1619411489
yadgir,16.7667,77.1333,97.88,18,44,11.1,IN,1619411490
yakeshi,49.2833,120.7333,60.55,46,100,15.84,CN,1619411490
yar-sale,66.8333,70.8333,33.57,99,100,15.26,RU,1619411490
yatou,37.15,122.3833,62.02,57,55,13.24,CN,1619411490
yebaishou,41.3975,119.6408,66.69,35,100,16.06,CN,1619411490
yerbogachen,61.2767,108.0108,29.46,55,96,13.98,RU,1619411490
zonguldak,41.25,31.8333,43.18,97,100,3.47,TR,1619411491
acarau,-2.8856,-40.12,76.68,84,7,7.61,BR,1619411542
alice town,25.7167,-79.3,80.24,76,0,17.11,BS,1619411543
anderson,34.5334,-82.6499,59.0,58,40,5.75,US,1619411543
aquin,18.2833,-73.4,75.07,85,14,2.08,HT,1619411543
araouane,18.9048,-3.5265,87.44,14,39,7.7,ML,1619411543
astoria,46.1879,-123.8313,48.99,81,75,4.14,US,1619411543
atuona,-9.8,-139.0333,79.95,76,77,19.13,PF,1619411544
barrow,71.2906,-156.7887,21.2,79,1,11.5,US,1619411544
bethel,41.3712,-73.414,53.6,50,40,5.75,US,1619411544
billings,45.7833,-108.5007,45.0,93,90,4.61,US,1619411544
bonavista,48.6499,-53.1147,37.99,75,15,5.75,CA,1619411544
bonfim,3.0833,-59.95,76.24,85,96,7.14,BR,1619411544
botwood,49.1499,-55.3482,37.0,83,48,3.36,CA,1619411544
boulder city,35.9786,-114.8325,69.8,17,1,11.5,US,1619411545
brae,60.3964,-1.353,44.6,93,100,9.22,GB,1619411545
bubaque,11.2833,-15.8333,77.11,67,27,10.04,GW,1619411545
bullhead city,35.1478,-114.5683,80.6,12,1,21.85,US,1619411545
burgeo,47.6167,-57.6152,39.6,86,100,13.6,CA,1619411545
cabo san lucas,22.8909,-109.9124,73.0,36,100,11.74,MX,1619411545
camacha,33.0833,-16.3333,62.6,77,40,17.27,PT,1619411545
canico,32.6333,-16.85,60.8,77,20,5.75,PT,1619411545
cayenne,4.9333,-52.3333,77.0,94,75,8.05,GF,1619411546
clyde river,70.4692,-68.5914,23.0,93,90,10.36,CA,1619411546
cockburn town,21.4612,-71.1419,78.15,77,32,17.85,TC,1619411546
college,64.8569,-147.8028,64.4,19,20,2.73,US,1619411546
conakry,9.538,-13.6773,78.8,83,0,10.63,GN,1619411546
constitucion,23.9912,-104.6749,62.83,36,100,8.14,MX,1619411546
cururupu,-1.8283,-44.8683,73.89,94,66,2.19,BR,1619411547
dingle,52.1408,-10.2689,45.5,69,29,5.01,IE,1619411547
dire,12.2833,-10.9667,83.61,38,23,3.96,ML,1619411547
edenderry,53.3453,-7.0497,35.01,89,13,0.65,IE,1619411547
egvekinot,66.3167,-179.1667,27.34,90,18,0.78,RU,1619411547
el puerto de santa maria,36.5939,-6.233,62.6,94,20,6.91,ES,1619411547
emporia,38.4039,-96.1817,66.2,55,1,13.8,US,1619411547
espanola,46.2584,-81.7665,30.2,55,7,4.61,CA,1619411548
eureka,40.8021,-124.1637,48.99,82,69,1.01,US,1619411548
ewa beach,21.3156,-158.0072,80.01,57,20,9.22,US,1619411548
fairbanks,64.8378,-147.7164,64.4,20,1,4.61,US,1619411548
fayetteville,35.0527,-78.8784,60.01,55,1,5.75,US,1619411548
fort nelson,58.8053,-122.7002,48.2,25,75,19.57,CA,1619411548
fortuna,40.5982,-124.1573,48.99,93,90,3.51,US,1619411548
glace bay,46.1969,-59.957,48.0,87,90,8.05,CA,1619411548
grand-santi,4.25,-54.3833,73.08,99,100,1.03,GF,1619411549
guane,22.2025,-84.0875,73.4,90,7,2.19,CU,1619411549
guerrero negro,27.9769,-114.0611,58.75,83,100,10.33,MX,1619411549
haines junction,60.7522,-137.5108,46.4,34,0,4.61,CA,1619411549
half moon bay,37.4636,-122.4286,51.8,93,20,5.19,US,1619411549
halifax,44.6453,-63.5724,48.99,100,100,19.57,CA,1619411549
hamilton,32.2915,-64.778,68.0,94,90,16.11,BM,1619411602
hamilton,39.1834,-84.5333,46.0,87,1,3.4,US,1619411603
hanna,51.6334,-111.9018,37.0,60,100,3.0,CA,1619411603
hastings,40.5861,-98.3884,64.4,63,1,13.8,US,1619411603
havre-saint-pierre,50.2334,-63.5986,35.6,87,40,9.22,CA,1619411603
hermiston,45.8404,-119.2895,55.4,47,1,6.91,US,1619411603
high level,58.5169,-117.136,39.2,48,75,10.36,CA,1619411603
hilo,19.7297,-155.09,73.4,83,90,6.91,US,1619411603
hilton head island,32.2163,-80.7526,64.99,94,90,7.54,US,1619411603
hofn,64.2539,-15.2082,41.97,71,8,10.8,IS,1619411604
huntington beach,33.6603,-117.9992,60.01,77,20,9.22,US,1619411604
husavik,66.0449,-17.3389,35.6,87,75,8.05,IS,1619411604
ilulissat,69.2167,-51.1,48.2,43,75,27.63,GL,1619411604
inuvik,68.3499,-133.7218,14.0,85,84,6.91,CA,1619411604
iqaluit,63.7506,-68.5145,32.0,93,90,3.44,CA,1619411604
itarema,-2.9248,-39.9167,76.23,85,9,6.93,BR,1619411604
kahului,20.8947,-156.47,73.4,83,40,18.41,US,1619411605
kailua,21.4022,-157.7394,78.8,64,90,9.22,US,1619411605
kapaa,22.0752,-159.319,75.2,73,40,13.8,US,1619411605
kita,13.0349,-9.4895,86.56,32,98,1.12,ML,1619411605
klaksvik,62.2266,-6.589,42.8,100,100,19.57,FO,1619411605
kodiak,57.79,-152.4072,42.8,81,1,9.22,US,1619411605
kouroussa,10.65,-9.8833,78.03,61,75,6.8,GN,1619411605
la ronge,55.1001,-105.2842,33.8,59,100,9.22,CA,1619411606
lagoa,39.05,-27.9833,58.73,85,100,9.84,PT,1619411606
lavrentiya,65.5833,-171.0,31.8,92,98,1.21,RU,1619411606
leesburg,39.1157,-77.5636,53.6,58,1,8.05,US,1619411606
livingston,40.7959,-74.3149,57.2,62,40,3.44,US,1619411606
lompoc,34.6391,-120.4579,51.8,87,100,4.61,US,1619411606
marienburg,5.8469,-55.0216,77.0,94,94,5.26,SR,1619411607
marsh harbour,26.5412,-77.0636,78.42,73,0,8.23,BS,1619411607
matagami,49.7502,-77.6328,19.4,86,20,14.97,CA,1619411607
miraflores,1.3367,-71.9511,72.81,95,86,2.3,CO,1619411607
monrovia,6.3005,-10.7969,77.0,94,75,4.81,LR,1619411607
montrose,38.4166,-108.2673,64.4,11,1,12.66,US,1619411608
nanortalik,60.1432,-45.2371,35.91,98,100,5.86,GL,1619411608
nantucket,41.2835,-70.0995,46.4,93,1,16.11,US,1619411608
narsaq,60.9167,-46.05,50.0,32,90,29.93,GL,1619411608
nicoya,10.1483,-85.452,80.6,54,0,11.5,CR,1619411608
nome,64.5011,-165.4064,44.6,57,90,5.75,US,1619411596
norman wells,65.282,-126.8329,28.4,46,40,6.91,CA,1619411608
north bend,43.4065,-124.2243,48.2,87,90,3.44,US,1619411609
olafsvik,64.8945,-23.7142,39.54,87,11,11.79,IS,1619411609
orocue,4.7912,-71.3354,82.36,68,92,3.24,CO,1619411609
oussouye,12.485,-16.5469,71.6,78,0,4.61,SN,1619411609
paamiut,61.994,-49.6678,33.31,99,100,6.24,GL,1619411609
pangnirtung,66.1451,-65.7125,30.56,79,98,6.53,CA,1619411609
penzance,50.1186,-5.5371,46.0,81,40,22.7,GB,1619411662
petatlan,17.5167,-101.2667,76.41,69,98,2.59,MX,1619411663
pinawa,50.1489,-95.8811,37.76,70,100,7.29,CA,1619411663
ponta do sol,17.1994,-25.0919,69.8,68,40,10.36,CV,1619411663
ponta do sol,32.6667,-17.1,59.0,83,44,3.0,PT,1619411663
porto santo,33.072,-16.3415,62.6,77,40,17.27,PT,1619411663
price,39.5994,-110.8107,60.8,17,1,6.91,US,1619411663
provideniya,64.3833,-173.3,33.8,75,0,6.71,RU,1619411663
puerto ayacucho,5.6639,-67.6236,75.07,87,100,3.42,VE,1619411664
puerto ayora,-0.7393,-90.3518,74.43,88,4,6.73,EC,1619411664
puerto escondido,15.85,-97.0667,81.41,81,94,6.46,MX,1619411664
qaanaaq,77.484,-69.3632,28.4,62,10,9.82,GL,1619411664
ramos arizpe,25.55,-100.9667,69.8,35,1,6.91,MX,1619411664
rapid city,44.0805,-103.231,53.01,71,75,6.91,US,1619411664
redmond,47.674,-122.1215,51.01,95,96,0.85,US,1619411664
ribeira grande,38.5167,-28.7,59.0,72,20,4.61,PT,1619411665
sagua la grande,22.8067,-80.0756,77.0,44,40,1.14,CU,1619411665
saint george,32.3817,-64.6781,68.0,94,90,16.11,BM,1619411665
saint george,37.1041,-113.5841,70.0,14,1,4.47,US,1619411665
saint-augustin,51.226,-58.6502,34.07,83,21,3.29,CA,1619411665
saint-georges,3.9,-51.8,73.02,99,100,1.25,GF,1619411665
saint-pierre,46.7654,-56.1695,38.17,89,100,16.69,PM,1619411665
san diego de los banos,22.6467,-83.3697,72.19,90,21,1.92,CU,1619411666
san juan de arama,3.3464,-73.8894,71.67,90,97,2.42,CO,1619411666
san patricio,19.2167,-104.7,73.22,87,56,3.58,MX,1619411666
san pedro,17.916,-87.9659,81.0,81,6,4.0,BZ,1619411667
san quintin,30.4833,-115.95,57.02,85,25,12.71,MX,1619411667
santa isabel do rio negro,-0.4139,-65.0192,73.85,98,93,2.57,BR,1619411667
sao filipe,14.8961,-24.4956,71.74,71,83,9.4,CV,1619411667
sarnia,42.9787,-82.4041,33.8,75,1,10.36,CA,1619411667
sinnamary,5.3833,-52.95,76.84,90,100,9.53,GF,1619411667
sioux lookout,50.1001,-91.917,39.2,38,75,10.36,CA,1619411667
sitka,57.0531,-135.33,55.4,50,1,3.44,US,1619411668
stromness,58.965,-3.296,44.6,93,75,5.75,GB,1619411668
tabou,4.423,-7.3528,76.05,89,100,4.76,CI,1619411668
talavera de la reina,39.9635,-4.8308,51.66,90,89,0.6,ES,1619411668
taoudenni,22.6783,-3.9836,84.25,16,8,9.31,ML,1619411668
tasiilaq,65.6145,-37.6368,37.4,70,75,17.27,GL,1619411668
thompson,55.7435,-97.8558,30.2,93,90,3.44,CA,1619411668
torbay,47.6666,-52.7314,39.99,70,1,6.91,CA,1619411669
touros,-5.1989,-35.4608,75.2,94,20,4.61,BR,1619411669
tuktoyaktuk,69.4541,-133.0374,14.0,79,90,8.05,CA,1619411669
upernavik,72.7868,-56.1549,27.86,71,49,3.98,GL,1619411669
vestmanna,62.1564,-7.1664,42.8,100,100,19.57,FO,1619411670
worland,44.0169,-107.9554,55.4,47,90,11.5,US,1619411670
yellowknife,62.456,-114.3525,6.8,78,90,12.66,CA,1619411670
yuma,32.7253,-114.6244,78.8,19,1,13.8,US,1619411670
ahipara,-35.1667,173.1667,61.65,69,28,7.54,NZ,1619411722
aitape,-3.1374,142.3475,85.3,63,77,5.53,PG,1619411723
albany,-35.0169,117.8917,77.0,53,92,8.05,AU,1619411723
alice springs,-23.7,133.8833,78.8,22,0,12.66,AU,1619411465
alyangula,-13.8483,136.4192,77.0,100,75,6.91,AU,1619411723
amahai,-3.3333,128.9167,85.17,60,8,5.82,ID,1619411723
angoche,-16.2325,39.9086,75.47,90,77,3.87,MZ,1619411723
aranos,-24.1333,19.1167,61.3,26,12,10.67,NA,1619411723
auki,-8.7676,160.7034,83.66,73,100,4.7,SB,1619411724
bairiki,1.3292,172.9752,84.2,79,40,9.22,KI,1619411724
ballina,-28.8667,153.5667,71.6,64,40,11.5,AU,1619411724
bambanglipuro,-7.95,110.2833,85.44,65,12,9.1,ID,1619411725
bambous virieux,-20.3428,57.7575,77.0,88,75,14.97,MU,1619411725
banjarmasin,-3.3244,114.591,87.8,70,40,4.61,ID,1619411725
barabai,-2.5833,115.3833,93.4,50,62,1.68,ID,1619411725
beira,-19.8436,34.8389,71.6,94,20,5.48,MZ,1619411726
beloha,-25.1667,45.05,76.14,62,0,6.87,MG,1619411726
bengkulu,-3.8004,102.2655,84.99,69,43,9.06,ID,1619411726
bima,-8.4667,118.7167,85.28,68,38,4.47,ID,1619411726
bluff,-46.6,168.3333,48.0,68,81,14.0,NZ,1619411726
bredasdorp,-34.5322,20.0403,51.8,93,79,2.3,ZA,1619411727
broken hill,-31.95,141.4333,69.8,37,0,11.5,AU,1619411728
broome,-17.9667,122.2333,89.6,13,0,12.66,AU,1619411728
buala,-8.145,159.5921,84.88,71,76,3.18,SB,1619411728
burnie,-41.0667,145.9167,61.0,61,21,15.01,AU,1619411728
busselton,-33.65,115.3333,79.0,45,99,5.01,AU,1619411728
byron bay,-28.65,153.6167,71.6,64,40,11.5,AU,1619411564
calvinia,-31.4707,19.776,64.13,45,100,3.31,ZA,1619411728
cape town,-33.9258,18.4232,62.01,88,20,6.91,ZA,1619411711
carnarvon,-24.8667,113.6333,93.2,18,0,5.75,AU,1619411729
chake chake,-5.2459,39.7666,79.02,85,82,9.28,TZ,1619411729
chanika,-5.4167,38.0167,68.81,94,99,3.24,TZ,1619411729
charters towers,-20.1,146.2667,74.82,64,98,10.47,AU,1619411729
chato,-2.6378,31.7669,65.08,94,100,4.68,TZ,1619411729
chimoio,-19.1164,33.4833,66.2,94,20,3.29,MZ,1619411729
chokwe,-24.5333,32.9833,67.53,91,0,2.71,MZ,1619411729
cuamba,-14.8031,36.5372,67.86,94,62,0.31,MZ,1619411730
daru,-9.0763,143.2092,80.29,78,99,4.27,PG,1619411730
east london,-33.0153,27.9116,66.2,52,0,5.75,ZA,1619411730
esperance,-33.8667,121.9,86.0,20,45,13.8,AU,1619411730
flinders,-34.5833,150.8552,71.6,33,0,6.91,AU,1619411730
gamba,-2.65,10.0,76.64,90,65,3.36,GA,1619411730
geraldton,-28.7667,114.6,86.0,26,21,11.5,AU,1619411730
gizo,-8.103,156.8419,84.6,69,26,3.94,SB,1619411731
grootfontein,-19.5667,18.1167,53.83,35,0,3.42,NA,1619411731
henties bay,-22.116,14.2845,60.01,93,2,1.99,NA,1619411731
hermanus,-34.4187,19.2345,60.01,91,1,1.99,ZA,1619411782
hervey bay,-25.2986,152.8535,77.0,60,56,5.01,AU,1619411783
hithadhoo,-0.6,73.0833,82.89,66,64,4.36,MV,1619411783
hobart,-42.8794,147.3294,66.2,42,40,17.27,AU,1619411783
hokitika,-42.7167,170.9667,55.13,81,96,19.37,NZ,1619411783
ikalamavony,-21.15,46.5833,68.65,76,99,5.95,MG,1619411783
ilebo,-4.3167,20.5833,70.11,99,100,1.99,CD,1619411783
inhambane,-23.865,35.3833,69.66,89,0,3.85,MZ,1619411783
inongo,-1.95,18.2667,71.47,96,100,3.2,CD,1619411784
isangel,-19.55,169.2667,82.4,74,75,11.5,VU,1619411784
itigi,-5.7,34.4833,62.73,94,54,6.33,TZ,1619411784
jamestown,-15.9387,-5.7168,69.57,75,8,15.68,SH,1619411784
kaeo,-35.1,173.7833,64.0,68,13,5.99,NZ,1619411784
kasongo-lunda,-6.4667,16.8167,69.19,97,78,0.54,CD,1619411784
katobu,-4.9408,122.5276,90.5,47,45,2.37,ID,1619411784
kingaroy,-26.5333,151.8333,75.99,31,0,5.75,AU,1619411785
kinkala,-4.3614,14.7644,75.2,94,20,5.75,CG,1619411785
kinshasa,-4.3246,15.3215,75.2,94,20,5.75,CD,1619411492
kirakira,-10.4544,161.9205,84.49,73,78,0.2,SB,1619411785
kiunga,-6.1219,141.2906,92.17,47,76,3.24,PG,1619411785
kokstad,-30.5472,29.4241,51.55,46,73,5.48,ZA,1619411785
kruisfontein,-34.0033,24.7314,65.05,48,100,1.88,ZA,1619411785
kununurra,-15.7667,128.7333,91.4,33,40,9.22,AU,1619411744
kupang,-10.1667,123.5833,84.25,45,87,10.76,ID,1619411786
labuhan,-6.8844,112.2051,87.3,60,2,10.42,ID,1619411786
launceston,-41.45,147.1667,68.0,48,40,6.91,AU,1619411728
lodja,-3.4833,23.4333,68.95,99,100,0.92,CD,1619411787
lucapa,-8.4192,20.7447,65.07,95,83,2.1,AO,1619411787
luderitz,-26.6481,15.1594,61.83,87,97,2.91,NA,1619411787
luganville,-15.5333,167.1667,82.06,80,56,6.8,VU,1619411787
machinga,-15.1685,35.3,67.66,87,17,2.57,MW,1619411788
mackay,-21.15,149.2,77.0,69,75,17.27,AU,1619411554
madimba,-10.4,40.3333,73.4,100,40,13.8,TZ,1619411788
mahebourg,-20.4081,57.7,77.0,88,75,14.97,MU,1619411788
majene,-3.5403,118.9707,87.33,61,96,8.43,ID,1619411788
makasar,-5.14,119.4221,91.4,62,20,4.61,ID,1619411566
mareeba,-17.0,145.4333,75.2,94,90,12.66,AU,1619411788
mbarara,-0.608,30.65,63.0,86,97,1.95,UG,1619411788
missungwi,-2.85,33.0833,68.0,88,75,11.5,TZ,1619411789
mkuranga,-7.118,39.2078,75.2,100,40,9.22,TZ,1619411789
mlimba,-8.8,35.8167,71.67,98,99,0.43,TZ,1619411789
moindou,-21.6924,165.677,77.0,65,20,13.8,NC,1619411789
moranbah,-22.0016,148.0466,79.79,35,35,13.2,AU,1619411789
mount gambier,-37.8333,140.7667,59.0,77,90,9.22,AU,1619411789
mount isa,-20.7333,139.5,89.6,31,40,9.22,AU,1619411789
mutoko,-17.397,32.2268,59.54,68,55,2.75,ZW,1619411789
mwingi,-0.9344,38.0601,69.1,84,23,4.81,KE,1619411790
namatanai,-3.6667,152.4333,84.13,68,98,4.72,PG,1619411790
namibe,-15.1961,12.1522,74.79,69,0,8.08,AO,1619411790
ngunguru,-35.6167,174.5,64.0,68,39,5.99,NZ,1619411843
nhulunbuy,-12.2333,136.7667,82.4,78,40,5.75,AU,1619411843
northam,-31.6667,116.6667,88.0,19,7,5.75,AU,1619411843
oranjemund,-28.55,16.4333,62.74,84,100,6.13,NA,1619411843
padang,-0.9492,100.3543,87.8,66,40,5.75,ID,1619411593
pangkalanbuun,-2.6833,111.6167,89.92,58,55,3.89,ID,1619411843
pontianak,-0.0333,109.3333,89.6,66,75,8.05,ID,1619411644
port alfred,-33.5906,26.891,71.47,43,95,6.76,ZA,1619411844
port augusta,-32.5,137.7667,69.8,60,2,11.5,AU,1619411844
port hedland,-20.3167,118.5667,91.4,10,0,13.8,AU,1619411839
port lincoln,-34.7333,135.8667,66.36,63,2,9.22,AU,1619411844
port macquarie,-31.4333,152.9167,72.0,60,10,1.99,AU,1619411652
portland,-38.3333,141.6,60.31,66,99,8.88,AU,1619411844
poum,-20.2333,164.0167,77.43,69,39,23.85,NC,1619411844
quatre cocos,-20.2078,57.7625,77.0,88,75,14.97,MU,1619411845
rehoboth,-23.3167,17.0833,61.21,40,38,5.12,NA,1619411845
richards bay,-28.783,32.0377,64.78,88,3,4.21,ZA,1619411845
roma,-26.5833,148.7833,74.53,21,0,6.6,AU,1619411845
saint-denis,-20.8667,55.4667,77.0,73,0,13.8,RE,1619411845
saint-philippe,-21.3585,55.7679,78.8,69,0,18.41,RE,1619411845
saldanha,-33.0117,17.9442,60.8,94,10,10.36,ZA,1619411809
samarai,-10.6167,150.6667,85.39,71,78,12.73,PG,1619411846
sambava,-14.2667,50.1667,76.15,81,100,7.11,MG,1619411846
serowe,-22.3833,26.7167,59.4,33,0,2.75,BW,1619411846
sola,-13.8833,167.55,87.8,74,40,5.75,VU,1619411846
souillac,-20.5167,57.5167,77.0,88,75,14.97,MU,1619411846
